svs_file,y,COMPOUND_NAME,pair_svs_file,failure
34374.svs,0,iproniazid,34369.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
34989.svs,0,fenofibrate,35000.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
35000.svs,1,fenofibrate,34989.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
35344.svs,0,chlorpropamide,35347.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
35345.svs,1,chlorpropamide,35356.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
35346.svs,1,chlorpropamide,35343.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
35353.svs,1,chlorpropamide,35354.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
35354.svs,0,chlorpropamide,35353.svs,tissue misdetected as hole
35356.svs,0,chlorpropamide,35345.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
35359.svs,0,chlorpropamide,35358.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
35368.svs,0,chlorpropamide,35369.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
35369.svs,1,chlorpropamide,35368.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
36200.svs,1,ethambutol,36213.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
36206.svs,1,ethambutol,36219.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
36297.svs,1,ethambutol,36316.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
36316.svs,0,ethambutol,36297.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
36695.svs,1,chlorpheniramine,36698.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
37095.svs,0,nifedipine,37093.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
40620.svs,1,tolbutamide,40616.svs,tissue misdetected as hole
41398.svs,1,colchicine,41396.svs,tissue misdetected as hole
41414.svs,0,colchicine,41416.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
42545.svs,0,simvastatin,42535.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
44132.svs,0,terbinafine,44134.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
44134.svs,1,terbinafine,44132.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
44811.svs,1,meloxicam,44817.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
45495.svs,0,lornoxicam,45502.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
45502.svs,1,lornoxicam,45495.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
46777.svs,0,methapyrilene,46786.svs,tissue misdetected as hole
46805.svs,1,methapyrilene,46814.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
46824.svs,0,methapyrilene,46838.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
46828.svs,0,methapyrilene,46843.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
46838.svs,1,methapyrilene,46824.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
46843.svs,1,methapyrilene,46828.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
47811.svs,1,disulfiram,47821.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
47834.svs,1,disulfiram,47844.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
47844.svs,0,disulfiram,47834.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
47875.svs,1,disulfiram,47861.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
47880.svs,0,disulfiram,47884.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
48790.svs,1,promethazine,48799.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
48794.svs,0,promethazine,48784.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
48799.svs,0,promethazine,48790.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
48848.svs,1,promethazine,70104.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
48928.svs,1,promethazine,48948.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
49239.svs,1,chlormadinone,49235.svs,tissue misdetected as hole
49342.svs,0,chlormadinone,49332.svs,tissue misdetected as hole
52799.svs,1,bromoethylamine,52807.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
52803.svs,1,bromoethylamine,52816.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
54339.svs,0,cyclosporine A,54351.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
54345.svs,0,cyclosporine A,54357.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
54357.svs,1,cyclosporine A,54345.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
54369.svs,0,cyclosporine A,54375.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
54387.svs,0,cyclosporine A,54381.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
55173.svs,1,puromycin aminonucleoside,55179.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
57841.svs,0,nicotinic acid,57836.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
57846.svs,0,nicotinic acid,57852.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
57852.svs,1,nicotinic acid,57846.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
57916.svs,1,nicotinic acid,57919.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
57919.svs,0,nicotinic acid,57916.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
57922.svs,0,nicotinic acid,57925.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
57925.svs,1,nicotinic acid,57922.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
58004.svs,0,nicotinic acid,58009.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
58009.svs,1,nicotinic acid,58004.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
58708.svs,1,cycloheximide,58711.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
58720.svs,1,cycloheximide,58714.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
58723.svs,1,cycloheximide,58726.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
58738.svs,0,cycloheximide,58741.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
58741.svs,1,cycloheximide,58738.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
58744.svs,0,cycloheximide,58747.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
58747.svs,1,cycloheximide,58744.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
59122.svs,1,phalloidin,59146.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
59225.svs,0,phalloidin,59236.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
59425.svs,0,phorone,59432.svs,tissue misdetected as hole
59444.svs,1,phorone,59441.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
61552.svs,0,aspirin,61548.svs,tissue misdetected as hole
66473.svs,0,bortezomib,66271.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
70104.svs,0,promethazine,48848.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
70450.svs,0,allyl alcohol,4390.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
70461.svs,1,aspirin,4828.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
71035.svs,0,ketoconazole,32588.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
